key,tr,eng,polski,

#UI_TEXT
INPUT01_text,"Birinci Sayı","First Number","Pierwszy Numer"
INPUT02_text,"İkinci Sayı","Second Number","Drugi Numer"
BTNmenu_exit,"ÇIKIŞ","EXIT","WYJŚCIE"
BTNmenu_resume,"DEVAM ET","RESUME","KONTYNUJ"
BTNmenu_apply,"KAYDET","APPLY","ZAPISZ"
BTNmenu_default,"VARSAYILAN","DEFAULT","RESETOWANIE"
BTNmenu_credits,"KREDİLER","CREDITS","KREDYTY"

#ITEM_NAME
ITEM00_name,"Elma","Apple","Jabłko"
ITEM01_name,"Portakal","orange","Pomarańczowy"
ITEM02_name,"Kiraz","Cherry","Wiśnia"
ITEM03_name,"Çilek","Strawberry","Truskawka"

#ITEM_EXPLANATION
ITEM00_explanation,"- Bu renkli ve lezzetli meyve, genellikle kırmızı, sarı, yeşil gibi çeşitli renklerde bulunur. Elmalar, özellikle C vitamini bakımından zengindirler. Bu sayede bağışıklık sistemimizi güçlendirmeye yardımcı olurlar.","- This colourful and delicious fruit is usually available in various colours such as red, yellow and green. Apples are especially rich in vitamin C. In this way, they help strengthen our immune system.","- Ten kolorowy i pyszny owoc jest zwykle dostępny w różnych kolorach, takich jak czerwony, żółty i zielony. Jabłka są szczególnie bogate w witaminę C. W ten sposób pomagają wzmocnić nasz układ odpornościowy."
ITEM01_explanation,"- Bu parlak ve lezzetli meyve, genellikle turuncu renkte bulunur. Portakallar özellikle C vitamini bakımından oldukça zengindir ve bu sayede bağışıklık sistemimizi güçlendirmeye yardımcı olurlar.","- This bright and delicious fruit is usually orange in colour. Oranges are especially rich in vitamin C, which helps to strengthen our immune system.","- Ten jasny i pyszny owoc ma zazwyczaj pomarańczowy kolor. Pomarańcze są szczególnie bogate w witaminę C, która pomaga wzmocnić nasz układ odpornościowy."
ITEM02_explanation,"- Bu küçük ve renkli meyve genellikle kırmızı veya koyu kırmızı renkte olabilir. Kirazlar özellikle C vitamini bakımından oldukça zengindir ve bu sayede bağışıklık sistemimizi güçlendirmeye yardımcı olurlar.","- This small and colourful fruit is usually red or dark red in colour. Cherries are particularly rich in vitamin C, which helps to strengthen our immune system.","- Ten mały i kolorowy owoc jest zazwyczaj czerwony lub ciemnoczerwony. Wiśnie są szczególnie bogate w witaminę C, która pomaga wzmocnić nasz układ odpornościowy."
ITEM03_explanation,"- Bu kırmızı ve parlak meyve genellikle tatlı bir lezzete sahiptir. Çilekler özellikle C vitamini bakımından zengindir, bu da bağışıklık sistemimizi güçlendirmeye yardımcı olur.","- This red and bright fruit usually has a sweet flavour. Strawberries are particularly rich in vitamin C, which helps to strengthen our immune system.","- Ten czerwony i jasny owoc ma zazwyczaj słodki smak. Truskawki są szczególnie bogate w witaminę C, która pomaga wzmocnić nasz układ odpornościowy."

#WARNING_TEXT
SAVE_SUCCESSFUL,"Seçilen ayarlar kaydedildi.","Selected settings saved.","Wybrane ustawienia zostały zapisane."
SAVE_ERROR,"Kayıt yapılırken, beklenmeyen bir hata meydana geldi!","Kayıt yapılırken, beklenmeyen bir hata meydana geldi!","Podczas rejestracji wystąpił nieoczekiwany błąd!"
INPUT_warning00,"- Lütfen tüm satırlara, 0 ile 10 aralığında tamsayılar girin!","- Please enter integers between 0 and 10 in all rows!","- Wprowadź liczby całkowite od 0 do 10 we wszystkich wierszach!"
SUB_warning00,"- İlk sayıyı ikinci sayıdan büyük giriniz!","- Enter the first number greater than the second number!","- Wprowadź pierwszą liczbę większą od drugiej!"
SUB_warning01,"- Örneğin, 7 - 2 ve ya 5 - 3 gibi.","- For example, 7 - 2 or 5 - 3.","- Na przykład 7 - 2 lub 5 - 3."
DIV_warning00,"- İlk sayıyı ikinci sayıdan büyük giriniz!","- Enter the first number greater than the second number!","- Wprowadź pierwszą liczbę większą od drugiej!"
DIV_warning01,"- Örneğin, 8 / 2 ve ya 6 / 3 gibi.","- For example, 8/DOMYŚLNY2 or 6/3.","- Na przykład 8 / 2 lub 6 / 3."
DIV_warning02,"- Bölme işleminde İkinci sayı(Payda) 0 olamaz!","- In diratowaćvision, the second number (denominator) cannot be 0!","- W dzieleniu druga liczba (mianownik) nie może być równa 0!"

#INFO_TEXT
ADD_info00,"- Toplama işleminde bütün elmaları sayarız.","- We count all the apples during the picking process.","- Podczas procesu zbierania liczymy wszystkie jabłka. "
ADD_info01,"- Üst sıradaki elmaların sayısı, alt sıradaki elmaların sayısından büyük ve ya küçük olabilir.","- The number of apples in the top row can be greater or less than the number of apples in the bottom row.","- Liczba jabłek w górnym rzędzie może być większa lub mniejsza od liczby jabłek w dolnym rzędzie."
ADD_info02,"- Burada toplam beş elma sayarız.","- We count a total of five apples here.","- Tutaj liczymy w sumie pięć jabłek."
SUB_info00,"- Çıkarma işleminde üst sıradaki elmalardan, alt sıradaki elmaların sayısı kadarını çıkarır ve üst sırada kalan elmaları sayarız.","- In subtraction, we subtract the number of apples in the top row from the number of apples in the bottom row and count the remaining apples in the top row.","- W odejmowaniu odejmujemy liczbę jabłek w górnym rzędzie od liczby jabłek w dolnym rzędzie i liczymy pozostałe jabłka w górnym rzędzie."
SUB_info01,"- 3 elmadan, 2 elmayı çıkarmak için 3 tane elmadan 2 tane elmayı ayırırız ve 3 elmadan kalan elmayı sayarız. Yani geriye 1 elma kalır.","- To remove 2 apples from 3 apples, we separate 2 apples from 3 apples and count the remaining apples from the 3 apples. So that leaves 1 apple.","- Aby usunąć 2 jabłka z 3 jabłek, oddzielamy 2 jabłka od 3 jabłek i liczymy pozostałe jabłka z 3 jabłek. Pozostaje 1 jabłko."
SUB_info02,"- Üst sıradaki elmalar alt sıdadaki elmalardan fazla olmalıdır. Üst sıradaki elmalar alt sıradaki elmalardan az olursa, üst sırada sayabileceğimiz elma kalmaz.","- The apples in the top row should be more than the apples in the bottom row. If the apples in the top row are fewer than the apples in the bottom row, there will be no apples in the top row to count.","- Jabłek w górnym rzędzie musi być więcej niż jabłek w dolnym rzędzie. Jeśli jabłek w górnym rzędzie jest mniej niż jabłek w dolnym rzędzie, to w górnym rzędzie nie ma jabłek, które możemy policzyć."
SUB_info03,"- Üst sıradaki elmalar, alt sıradaki elmalardan az olduğu durumlarda sıfır elma sayarız ve doğru işlemi yapabilmek için hata mesajları alırız","- When apples in the top row are less than apples in the bottom row, we count zero apples and get error messages to do the correct operation.","- Gdy jabłek w górnym rzędzie jest mniej niż jabłek w dolnym rzędzie, liczymy zero jabłek i otrzymujemy komunikaty o błędach, aby zapewnić prawidłowe przetwarzanie"
MULTI_info00,"- Çarpma işleminde, alt satırdaki her bir elma üst satırdaki tüm elmaları temsil eder. Burada 2 + 3 = 5 elma yoktur. Burada 3 tane 2 'li elma vardır.","- In multiplication, each apple in the bottom row represents all the apples in the top row. There are not 2 + 3 = 5 apples here. Here there are 2 3 apples.","- W mnożeniu każde jabłko w dolnym rzędzie reprezentuje wszystkie jabłka w górnym rzędzie. Nie ma tu 2 + 3 = 5 jabłek. Są 3 jabłka z 2."
MULTI_info01,"- Yukarıdada gösterildiği gibi, alt satırdaki 3 elmanın her biri aslında 2 elmayı temsil etmektedir yani toplamda 6 elma vardır.","- As shown above, each of the 3 apples in the bottom row actually represents 2 apples, so there are 6 apples in total.","- Jak pokazano powyżej, każde z 3 jabłek w dolnym rzędzie reprezentuje w rzeczywistości 2 jabłka, więc w sumie jest ich 6."
MULTI_info02,"- Sonuç kısmı toplam 20 elmaya kadar görsel göstericek şekilde ayarlanmıştır. Resimde görüldüğü gibi 6 tane 5 elma ifadesi 20 taneden fazla elma eder.","- The result section is set to show pictures up to a total of 20 apples. As you can see in the picture, 6 out of 5 apples are more than 20 apples.","- Część wynikowa jest ustawiona tak, aby pokazywać łącznie do 20 jabłek. Jak widać na obrazku, 6 wyrażeń 5 jabłek to więcej niż 20 jabłek."
MULTI_info03,"- 20 den fazla elma gösterileceği zaman, elma sayısı ve onun yanında ikili bir elma resmi gösterilir. Burada ikili elma resmi çok fazla elma olduğunu ifade eder.","- When more than 20 apples are to be shown, the number of apples is shown and a double apple picture is shown next to it. Here the double apple picture means that there are too many apples.","- Jeśli ma zostać pokazanych więcej niż 20 jabłek, obok liczby jabłek wyświetlany jest obrazek z podwójnym jabłkiem. Obrazek z podwójnym jabłkiem wskazuje, że jabłek jest za dużo."
DIV_info00,"- Bölme işleminde, Üst satırdaki elmaların içinde. kaç adet alt satırdaki elma ve ya elmaların oluğuna bakılır. Yani 3 tane elmanın içinde kaç tane 2 elma olduğuna bakarız.","- In division, we look at how many apples or apples in the bottom row are in the apples in the top row. In other words, we look at how many 2 apples are in 3 apples.","- W dzieleniu sprawdzamy, ile jabłek lub jabłek w dolnym rzędzie znajduje się w jabłkach w górnym rzędzie. Innymi słowy, sprawdzamy, ile jest 2 jabłek w 3 jabłkach."
DIV_info01,"- Bir önceki resimde de görüldüğü gibi 3 tane elmanın içinde 1 adet 2 tane elma vardır.","- As you can see in the previous picture, there are 1, 2 apples in 3 apples.","- Jak widać na poprzednim obrazku, na 3 jabłka przypadają 1, 2 jabłka."
DIV_info02,"- Bölme işleminde üst satırdaki elmalar alt satırdaki elmalardan büyük olmak zorundadır. Örneğin 2 tane elmanın içinde 3 tane elma yoktur.","- In division, the apples in the top row must be bigger than the apples in the bottom row. For example, there are no 3 apples in 2 apples.","- W dzieleniu jabłka w górnym rzędzie muszą być większe niż jabłka w dolnym rzędzie. Na przykład, nie ma 3 jabłek w 2 jabłkach."
DIV_info03,"- Böyle bir durumda, doğru işlemi yapabilmek için uyarı mesajları alırız.","- In such a case, we receive warning messages so that we can take the correct action.","- W takim przypadku otrzymujemy komunikaty ostrzegawcze w celu podjęcia odpowiednich działań."
DIV_info04,"- Bölme işleminde alt satırdaki elmalar, 0 tane olamaz. örneğin 5 elmanın içinde kaç tane 0 elma olduğuna bakamayız çünkü 0 adet elma alt satırda hiç elmamızın olmadığı durumdur.","- In division, the apples in the bottom row cannot be 0. For example, we cannot look at how many 0 apples there are in 5 apples because 0 apples is when we have no apples in the bottom row.","- W dzieleniu jabłka w dolnym rzędzie nie mogą być równe 0. Na przykład, nie możemy sprawdzić, ile jest jabłek 0 w 5 jabłkach, ponieważ 0 jabłek jest wtedy, gdy nie mamy żadnych jabłek w dolnym rzędzie."
DIV_info05,"- Böyle bir durumda, doğru işlemi yapabilmek için uyarı mesajları alırız.","- In such a case, we receive warning messages so that we can take the correct action.","- W takim przypadku otrzymujemy komunikaty ostrzegawcze w celu podjęcia odpowiednich działań."
DIV_info06,"- Bölme işleminde üst satırdaki elmalar, 0 tane olabilir. Yani hiç elmamız olmayabilir. Bu durumda elimizde hiç elma olmadığı için 0 adet 5 elmaya sahibizdir.","- In division, the apples in the top row can be 0. In other words, we may not have any apples. In this case, since we have no apples, we have 0, 5 apples.","- W dzieleniu jabłka w górnym rzędzie mogą mieć wartość 0. Innymi słowy, możemy nie mieć żadnych jabłek. W tym przypadku, ponieważ nie mamy żadnych jabłek, mamy 0, 5 jabłek."
DIV_info07,"- Bu durumda sonuç 0 dır.","- In this case the result is 0.","- W tym przypadku wynik wynosi 0."

#CREDITS
TITLEmain00_credits,"TARAFINDAN DÜZENLENDİ","EDIT BY","EDYTOWANY PRZEZ"
EXPLANATION00_credits,"tasarım - komut dosyası yazma","design - scripting","projekt - skrypty"